"id","view_Count","like_Count","favorite_Count","comment_Count","dislike_Count"
"jf0ZtZ8CVkk","259134","3783","0","370","93"
"XUBeH7VQaFY","338954","6032","0","406","141"
"XX6fhw2mltE","129592","5348","0","603","102"
"GGc3hayrQwY","2083363","66129","0","7871","3974"
"5KfBYjSYP5Q","81805","2026","0","201","233"
"FQDyYJOQPng","115661","3840","0","328","41"
"hQptepGEdA4","1560606","76983","0","3933","582"
"IQ4hGFWZ7vM","596663","14495","0","420","275"
"SPiWnW6rdrA","435621","23098","0","2328","480"
"DBeXNMVVaxA","354121","5587","0","755","495"
"9CRNjrx34rs","80811","1607","0","487","66"
"yJ1ss_Ahb44","1306081","21235","0","350","209"
"e_uBCK6PNSg","618289","16155","0","829","293"
"9ynNn8yGqQU","68228","3519","0","367","151"
"poi9Qz_lSg0","270880","4193","0","652","707"
"6OqdG-ZcYC0","422684","5540","0","1698","866"
"_FGUkxn5kZQ","4566347","56771","0","17372","2865"
"fQRt56aZnnk","758449","12568","0","944","489"
"AM_xuUvWjZg","25647","1222","0","65","42"
"HSqPrtE374Q","9518382","133406","0","16891","30991"
"dVGBIrZNjAw","89576","1348","0","491","153"
"V5JSpC3AbAU","1688","91","0","68","5"
"5i_TKMwy6o4","1369074","28165","0","5348","5577"
"n12iKLyEe8Q","1216597","13299","0","1881","2100"
"z79duuC4I1Q","1951403","24690","0","NULL","3123"
"4ttcIW14cSU","10414947","118865","0","15755","2316"
"hPbrlNsMTg4","12898791","92402","0","11630","4703"
"GLBWky0u8LU","41415","2364","0","254","66"
"DpPf1w04bG4","2451393","101083","0","7729","2451"
"I5GcrAdyP70","337","2","0","NULL","1"
"P0OD7bajNxk","4120","141","0","NULL","7"
"_xUDjWVYOjY","66761","818","0","NULL","34"
"NULL","NULL","NULL","NULL","NULL","NULL"
"ggQV3nKQ0ks","552422","11824","0","1062","1809"
"QLsNuvkOPIc","2704","29","0","86","31"
"HZ3CjlWVnQY","1786851","41406","0","4483","751"
"br6yn2eQIoE","1619","66","0","26","2"
"oob8xrVROqM","233438","10528","0","793","127"
"AsukMcIi30Y","2255","26","0","40","26"
"guSEx_KTNmc","244073","727","0","28","62"
"2tmMWyZh4_A","696000","17042","0","1498","356"
"QY9EfmB5Dr4","1112481","69525","0","6401","3326"
"92QNTyGINk0","5244","129","0","36","5"
"ehYHZsvtVVE","981833","18096","0","2792","632"
"iUdEXvR3HpA","127428","4256","0","348","93"
"35jEUxR2rXY","343454","6035","0","NULL","180"
"Fb6jxie0kf8","61286","2693","0","151","481"
"nSYLImISaG0","2210847","8823","0","344","625"
"YVa6_i8msnY","198207","1471","0","339","112"
"dxoMBvT-eJs","751991","15170","0","1378","752"
"mF0aBalc38U","142694","3905","0","233","64"
"4KvTX6ZfQT0","780236","41409","0","8525","979"
"TO8JspHy1dw","475774","22645","0","1901","186"
"JDfDXVWmAUs","288958","3236","0","13","89"
"wOue4ceC2W8","1549985","24342","0","2679","858"
"DUcLLBMDj9M","653","34","0","3","0"
"Wk3copKbSE4","616","18","0","NULL","1"
"8NjwTOxaXiM","153473","4046","0","1727","410"
"CvNoqra3nHg","1473182","16539","0","2143","436"
"JanaR1ExxMQ","346992","6693","0","559","960"
"W2JEpHfJ2YA","425607","7886","0","1229","1864"
"1QUBV-wf1PA","5526798","29516","0","2754","5080"
"KxB83EeEx1w","400872","17640","0","3141","193"
"nuyAyQ_abjU","17446","173","0","4","37"
"uQYkLAtyGXQ","77680","1303","0","240","47"
"kvKVQAMPvro","714544","5587","0","194","95"
"0fvpvAJ72Zc","1515767","94977","0","3509","1531"
"tAmnm6AileM","344843","6195","0","379","190"
"k-5Q6SFInnc","580584","7509","0","1697","3031"
"8i7JRgcM5HM","14444229","559179","0","33744","6793"
"g0x1Vo6shUU","643003","3558","0","504","247"
"QWaYm0p-AM8","145865","2938","0","1372","536"
"8WnFKXWrp2M","132590","5400","0","505","128"
"Fkx1YeOdAd4","4472918","67570","0","8037","974"
"6KOpbQHLGAY","281370","3429","0","275","171"
"k5oJFKHQRxw","318098","19490","0","1200","196"
"Nn9a8tDjbuw","3731322","56466","0","10668","2382"
"q9xuVmiflws","162255","6763","0","1420","514"
"s3nEfpOaBV4","1021","76","0","76","0"
"ksdPu9HGdgc","1615200","58013","0","1677","687"
"V8ks9p8_3_I","162766","5359","0","3301","430"
"F02xcllGY84","819493","10599","0","286","701"
"3Ymbcy3wJ78","3087474","123091","0","4385","1533"
"8DNrii1pUN0","2238","315","0","100","7"
"PyI-RjfE0ks","2474455","53441","0","8430","4534"
"DhCAOI__984","415991","8533","0","332","121"
"mBBzaFhgP-I","345980","20638","0","869","96"
"5xaViOSwAac","329659","12534","0","1474","128"
"LU6r78pDLDw","15985898","177944","0","13684","5431"
"4ErU0TtaAvI","419817","5204","0","359","785"
"z72XPrtn6UE","437582","3941","0","205","122"
"eIlhlujgyDk","3794306","70068","0","9924","1895"
"BJpUR_ECBZs","427786","12510","0","NULL","322"
"Ill3dLhr_y0","104964","1716","0","236","387"
"6yw3_kTL8UY","1439733","63556","0","4221","490"
"TR-QG1_6wlE","328594","6676","0","1161","532"
"D2znvwEGIxc","1165067","6604","0","NULL","883"
"2I9-mtD3rO8","185789","4772","0","296","730"
"GCWDIQdi34g","873785","38373","0","5953","1391"
"fTXnIgZk45w","3801329","95467","0","8649","2234"
"JsAV19nOo2o","548392","20781","0","2085","558"
"POmX-Mf0tBg","262285","6504","0","562","188"
"RQaORQvnESU","670902","9658","0","613","297"
"6aEDgv7wn40","117330","668","0","91","231"
"eHLAnQghYTI","10445238","271151","0","76217","4607"
"TpgyjqVROOg","1657022","37490","0","3337","890"
"8WtE7wiDZTI","205584","6246","0","616","366"
"LnA7n9qSB7E","254710","2673","0","200","140"
"U_gzxLzFoK4","4855","238","0","90","4"
"koCoPCtKm_0","230014","6879","0","1676","895"
"xBfPv0MYb5Y","63870","1655","0","158","75"
"Nevmtfh-YDU","493947","11391","0","608","176"
"KVlYn4Fnd6k","1112785","26804","0","672","271"
"QkYkGAtDQwY","86428","1834","0","204","123"
"0Z9WuOaAy78","315201","9148","0","949","161"
"z3lwm0kAm_I","390477","11757","0","1744","313"
"Fk_pqLbezoM","181127","7030","0","785","161"
"UDL0O2YdDxY","8388722","119958","0","47926","8909"
"IAVtEniCF7g","5963522","63968","0","12930","2021"
"CRi8ika_KJY","212667","NULL","0","34","NULL"
"T1shV3kz4cw","895054","9458","0","NULL","276"
"6UEBVwqpDag","6180","156","0","6","7"
"E0ExAjyx_oA","81396","1519","0","378","61"
"jGXyaTwy-Bc","75468","4923","0","254","36"
"YF8K6OonKLE","396371","8222","0","573","603"
"pBatO5_-h08","229050","1189","0","59","37"
"HtdLaIpLQ3M","930643","5562","0","4889","1668"
"2KBdFwF83pw","100749","834","0","967","37"
"JzrWUPuiaCY","11123166","112395","0","17660","3196"
"5f2PXEsdm78","64960","872","0","61","28"
"Th4fxMFRIt0","342708","4037","0","615","209"
"y5vN83cqT5g","442352","21508","0","1708","267"
"KmakQiLrfQA","6955","NULL","0","3","NULL"
"idtCdUJlJno","154607","4797","0","952","156"
"pyAaxekYa50","38900","605","0","661","142"
"aMSZiiqQVHI","11770","116","0","40","22"
"VySEutTwQqM","451323","35904","0","1572","254"
"NmaRi3nAmqw","104198","2400","0","159","67"
"nQayue6IIhQ","2177042","41772","0","NULL","3272"
"zlc5Bii_Qf8","1606913","40102","0","2451","1033"
"rSOlCXM_eec","36218","1962","0","190","56"
"VaIzv8cCrGM","11242801","98104","0","12032","3830"
"2VINjj4k4QQ","12608","NULL","0","12","NULL"
"9P0TxHVmaLY","188988","5017","0","775","549"
"cTET0h9ouKI","354292","5800","0","549","181"
"0sMdyMiwTos","155083","2206","0","NULL","390"
"wW8cPtt8xo0","859","NULL","0","NULL","NULL"
"8c3eAawQSmw","705490","6448","0","2498","549"
"LsBJhxGUSHg","6329771","149446","0","6840","1576"
"h2kySqxKnS0","710538","27188","0","1456","414"
"vMISw2a9yuA","277524","17102","0","689","371"
"Ggp0yM8d8vM","116709","6665","0","204","195"
"dToP3IFpjCM","650951","12931","0","1197","217"
"cRdK1aQI8UU","114627","5415","0","690","324"
"VL9G4KvgaQQ","288402","4375","0","694","521"
"jtKeuZ2yIZw","651833","6608","0","NULL","287"
"yLiQGL6WrtE","4","0","0","0","0"
"uhs40qR4Pbo","566319","40452","0","2322","324"
"d5XCO8nD8Fs","425085","13749","0","3653","360"
"aFbgZmr7yHI","511304","3226","0","264","205"
"PfSwSFnr_yM","447780","6718","0","206","169"
"patZ-QvLdVY","60134","8181","0","492","55"
"tqcmeIgJzWo","135888","2754","0","957","122"
"M7L8hV779YA","45895","716","0","31","16"
"kNXl4rm_6OQ","92919","4729","0","259","38"
"kwWvg8eImrg","240","12","0","4","1"
"ylWkzBHl_As","7181675","261977","0","21194","5115"
"Cj5H8JhKFCw","153575","5519","0","320","55"
"V1CCzlEhMQw","4569681","26903","0","3147","5593"
"NULL","NULL","NULL","NULL","NULL","NULL"
"vamz6mvyS1I","2656809","160635","0","4735","1890"
"r82iAqE-k08","610486","10461","0","1789","2527"
"frEzl9TQj6o","1431290","19658","0","1037","568"
"rl8xEnOdpuI","110421","5108","0","841","407"
"jwWBa03JKlU","548707","10501","0","455","582"
"0wGBSy0Re0Q","2565472","47026","0","2720","3413"
"5PSNyKCPFjc","469553","4692","0","2021","504"
"bDEF8RKd8FY","514","90","0","13","0"
"NWOz3OZ6J9M","1920833","19526","0","33146","14424"
"sG9Jo3plhPA","521344","2363","0","599","660"
"1gBM4ciJ5Oc","3453237","20831","0","4779","2160"
"GUgPl2n6UmM","88477","527","0","35","34"
"8E_th7qfKhQ","74399","3373","0","364","85"
"H6PdX9AZASw","2749351","18848","0","794","959"
"v6tTD3l_Nvk","36013","1971","0","242","37"
"ZauKjEy4v20","136786","10683","0","1138","197"
"1ZRMVC9cCB4","2827933","61152","0","2379","391"
"v-jIvacpsxI","42662","1424","0","67","29"
"KjuxxwMfcmo","1","0","0","0","0"
"qfH0jIWnvVw","193505","9172","0","526","218"
"y3q9jOWodVo","200390","516","0","60","102"
"4U0GHVrurDg","1421539","6273","0","621","224"
"jcCITPibuuo","69808","546","0","1425","345"
"WrdrewRGEz8","336472","9087","0","906","231"
"2yvtGa7PCGU","486343","21575","0","3768","310"
"859gnFm-f08","342831","6188","0","593","725"
"IaeX3knklCA","445571","12297","0","951","1045"
"dLDdF7nj7jM","4147556","36788","0","3265","1043"
"0y9F8gsuWxM","1742356","28154","0","4316","2297"
"lyINqCfhNvs","1845515","15940","0","NULL","1061"
"EV08IwUEJr0","5540171","178069","0","9541","4248"
"Tfpf1NJTD40","384561","33804","0","802","377"
"_GCYSLdk5ys","150806","3118","0","254","102"
"OEsk0pvhMJQ","289017","4806","0","327","436"
"NB854leT6tw","13066","272","0","16","8"
"gGrdf8lZ6-Y","827148","11057","0","NULL","799"
"6DgP7XqZLRs","437444","12235","0","1133","208"
"9jS2IidwV0U","454372","17409","0","923","191"
"bBec19HY6SM","612018","5133","0","571","183"
"W1De9SB72_s","298254","18168","0","510","197"
"uQkPNIZMhos","311879","13512","0","1997","311"
"v9p_Ue-H20M","210033","7266","0","595","230"
"dKFor2aLcjk","10694","318","0","21","10"
"E_fxYqlcfRg","213809","5954","0","1097","577"
"xa2wurIpicA","2262812","68877","0","8493","430"
"E78n-l6SnJY","1824764","88129","0","1944","1839"
"VQF9tCrnOcU","371859","1111","0","104","62"
"zG8jjQZtnyA","94649","5221","0","550","84"
"_45ZERilec0","293123","4725","0","913","172"
"w2LaeleCIs4","6529","NULL","0","NULL","NULL"
"S8QSE7E-mLo","860931","58510","0","8381","2667"
"9sxJH1lnAv8","1777372","34432","0","1082","938"
"jZmyvyN-GOI","379","26","0","1","2"
"smZBWpRyUhA","1164893","103278","0","3836","2735"
"71X3iAYOPeY","479712","20851","0","997","330"
"nKvHk85imdU","81020","1530","0","118","216"
"PgyuAjs7954","32692","861","0","22","67"
"Lkcs1KFP4y4","161452","7223","0","562","187"
"TGDr7xCz1rY","1840814","37583","0","2972","666"
"7VFFcU6OK-s","31910","398","0","24","39"
"LuIy1ea6Mik","103755","3084","0","372","165"
"Yr1H4Dk69M8","38652","1509","0","123","50"
"vFPK5paOXnU","1700610","11704","0","1719","466"
"Ntw-icjtSzE","63455","1716","0","292","58"
"AOzEtxZIS9o","390256","6021","0","489","200"
"zRGTNEWSFPE","178230","1386","0","97","41"
"_uuQJSZ9jlo","36084","965","0","125","70"
"m29OuZfsorA","82221","1362","0","52","49"
"U7lf_N_p5Lk","293975","14729","0","498","256"
"z-aAWqUsrtk","102669","159","0","50","12"
"teOmeFZZJ5U","50234","4482","0","358","45"
"8aCatZvjw7E","133329","2231","0","446","202"
"rNIz-Z1Mo2k","307045","13592","0","262","196"
"6tEhEwTYrx4","257691","8910","0","1497","426"
"j4XmTDr29qA","60313","3176","0","447","86"
"N9yXYJYwXOE","15935","NULL","0","NULL","NULL"
"WZKKA7uLQo8","452447","12361","0","779","312"
"TJElzhtBErg","513","40","0","NULL","1"
"eiZkhqzi5gc","158462","5920","0","502","137"
"jOn1N6WbVmE","24413","1389","0","64","28"
"E-j4b48q2s4","238","11","0","4","0"
"894BUqo1Q1M","330929","11462","0","702","287"
"cy3Js9vJkXI","83230","6482","0","NULL","259"
"lShSeYg_kPQ","547453","5181","0","89","215"
"neGeOqxNY24","28757","462","0","162","39"
"i9OxGnhL9ww","107760","4769","0","185","161"
"_JLa1u4393A","106503","4806","0","NULL","249"
"jfuXseuHyko","54358","1337","0","1456","191"
"FFeNsgtJXI4","87","3","0","1","0"
"Y7VagnabjHs","10397","59","0","NULL","12"
"_JHZk7pdmDs","246909","6796","0","906","374"
"KTG_L4oQ5Lc","184117","9185","0","833","84"
"Bo_deCOd1HU","4017639","17509","0","2722","2807"
"t5qMRZNdlOg","5811839","19530","0","11567","2718"
"34xqg2L1T5o","29345","224","0","7","14"
"z55h0DkqSgY","54282","852","0","172","379"
"Az1hrLpkgss","81578","4091","0","218","110"
"k6hCeGSF3kA","1864899","30025","0","2806","4304"
"Mj2mO-KCnwg","110997","2022","0","350","648"
"RruxXi6PX_U","142808","4836","0","417","81"
"2s5X8AbUrY4","155","NULL","0","3","NULL"
"ruTU8CcX6_s","368323","36074","0","1652","225"
"EupAH3kq1Bk","4632622","22884","0","1693","2101"
"VJ96pgj6RAw","91676","895","0","17","81"
"yjrEzXK__f0","696484","5049","0","91","246"
"QnIAv6DligU","535766","12143","0","NULL","314"
"vHEzvoAwXx8","2454629","47710","0","4544","1665"
"yRUQUFIgvns","221246","6182","0","340","258"
"WbktuR2vdro","354089","11709","0","596","215"
"zKERyImkNow","44224","1069","0","289","32"
"6ip_Woi7pSw","704457","8212","0","1078","254"
"lSG_RfXjKuc","291791","7871","0","250","259"
"017inpON2Go","568215","27954","0","1132","305"
"m692Gdy3A68","61626","1887","0","140","33"
"KaRqqVDAaQo","7786952","172080","0","NULL","858"
"NULL","NULL","NULL","NULL","NULL","NULL"
"WuHmFkbuihc","679061","24483","0","5197","1316"
"xnb5WScMEA8","54036","275","0","25","34"
"o-gq74BW0B8","8038","240","0","22","2"
"3iTZwlp3A5c","2401445","63926","0","7358","2550"
"e-ORhEE9VVg","2420232917","8851206","0","549145","652883"
"OkjsL7Anjb4","614882","7993","0","328","269"
"acy-gGOflrM","11640","1398","0","91","8"
"PF1YR5uQfIc","165","8","0","4","0"
"qUeCmJydV-8","140588","617","0","250","156"
"iQH4qSaX-Vo","108299","NULL","0","4","NULL"
"QtJ0bjOR9M4","33435","413","0","NULL","15"
"YKLpmjdMZTo","617677","16683","0","NULL","1171"
"Ot6BaxFoHz4","3789","5","0","6","0"
"fAwB0B4Qlxs","3810991","32486","0","1003","455"
"0aWroKkx6q4","19759","618","0","28","11"
"IWnEgLjxu2Q","1637","66","0","8","1"
"BXGuvN3oVnc","145632","3272","0","611","104"
